id,title,url,is_paid,num_subscribers,avg_rating,avg_rating_recent,num_reviews,num_published_lectures,num_published_practice_tests,created,published_time,discounted_price_amount,price_detail_amount,currency
1504268,Sales Training: How To Close More Sales,/course/eliteselling/,TRUE,4594,4.37895,4.41132,809,29,0,10-01-2018,08-02-2018,455,8640,INR
1434702,[2020] Customer Service 2.0: Learn Digital Customer Service,/course/digital-social-media-customer-service-certificate-course/,TRUE,3535,4.46181,4.55157,802,20,0,15-11-2017,17-11-2017,455,2880,INR
404753,Amazon FBA: Complete Guide To Start Your Own Home Business,/course/amazon-secrets/,TRUE,33256,4.375,4.36652,800,29,0,26-01-2015,08-02-2015,455,8640,INR
1193610,Amazon Kindle: How To Create 10 Ebooks Per Week On Autopilot,/course/kindleautopilot/,TRUE,8094,4.23276,4.2052,800,28,0,25-04-2017,09-05-2017,494,9280,INR
2567312,Time Series Analysis in Python 2020,/course/time-series-analysis-in-python/,TRUE,5129,4.50502,4.53022,803,97,0,19-09-2019,20-09-2019,455,8640,INR
1895164,Six Sigma Black Belt (With Excel Application) BKO Accredited,/course/six-sigma-black-belt-including-ms-excel-application/,TRUE,3605,4.39862,4.41665,798,29,0,04-09-2018,13-02-2019,455,8640,INR
1123198,Colors for Data Science A-Z: Data Visualization Color Theory,/course/colordata/,TRUE,4971,4.13816,4.17723,797,34,0,22-02-2017,23-02-2017,455,8640,INR
1211916,The Essentials of Feedback & Performance Management (2020),/course/the-essentials-of-giving-and-receiving-feedback/,TRUE,4700,4.30244,4.28474,799,41,0,10-05-2017,16-05-2017,455,6080,INR
864848,"NLP In Sales Certification- Sell More, Persuade & Influence",/course/introduction-to-nlp-london/,TRUE,12914,4.5,4.41067,796,89,0,31-05-2016,08-06-2016,455,8640,INR
394084,Copywriting White Papers – An All Levels Strategy,/course/copywriting-how-to-write-a-white-paper/,TRUE,7272,4.53846,4.52135,796,28,0,14-01-2015,20-02-2015,455,5760,INR
1190348,Essentials of Software-as-a-Service (SaaS) Business,/course/essentials-of-software-as-a-seervice-saas/,TRUE,4770,4.24062,4.28336,794,11,0,23-04-2017,26-04-2017,455,1920,INR
1177364,IBM SPSS AMOS Foundation Course: SEM Scratch to Advanced,/course/sem-using-amos/,TRUE,2717,4.48023,4.30428,791,112,0,11-04-2017,29-05-2017,455,8640,INR
23972,"Improve Communication: Speak Smoothly, Clearly & Confidently",/course/start-speaking-smoothly-fluently-clearly-confidently/,TRUE,4866,4.08824,4.08691,791,24,0,31-08-2012,17-04-2013,455,1600,INR
45119,Improve your Handwriting - Improve your Life,/course/improve-your-handwriting-improve-your-life/,TRUE,6759,4.46703,4.49597,789,52,0,07-03-2013,09-08-2013,455,4800,INR
2795664,Microsoft Power BI: Latest 2020 Beginner to Expert Modules,/course/microsoft-power-bi-latest-2020-beginner-to-expert-modules/,TRUE,54597,3.85417,3.81926,792,81,0,04-02-2020,10-02-2020,455,8640,INR
1358508,Recruiter Training - Hire Top Employees in 30 days,/course/recruiter-training-hire-top-employees-in-30-days/,TRUE,3479,4.295,4.24426,793,126,0,23-09-2017,30-01-2018,455,8640,INR
1304100,EU GDPR: Employee Awareness Training Certificate 2020,/course/eu-gdpr-data-protection-employee-awareness/,TRUE,2614,4,4.08174,789,18,0,25-07-2017,03-10-2017,800,3200,INR
920424,Options Trading for Rookies: Basic Stock Options Strategies,/course/basic-option-strategies-trading-vertical-options/,TRUE,9376,4.74882,4.76682,789,62,0,01-08-2016,25-08-2016,455,6080,INR
1941608,The Amazon FBA Private Label Masterclass,/course/fba-amazon-masterclass/,TRUE,4385,4.45714,4.47008,786,129,0,01-10-2018,09-10-2018,455,8640,INR
1576950,The Real Estate Equity Waterfall Modeling Master Class,/course/the-real-estate-equity-waterfall-modeling-master-class/,TRUE,5673,4.79762,4.78611,788,43,0,02-03-2018,08-03-2018,455,8640,INR
180362,The Securities Trade Lifecycle,/course/the-securities-trade-lifecycle/,TRUE,4854,4.42562,4.41296,786,22,0,11-03-2014,12-03-2014,455,1600,INR
792598,Business Bootcamp: 7 Weeks to Start Your Own Business,/course/business-bootcamp/,TRUE,89171,4.50943,4.42418,785,51,0,14-03-2016,15-03-2016,455,8640,INR
3090870,Management Consulting Essential Training,/course/management-consulting-strategy/,TRUE,32942,4.57803,4.58957,788,133,0,05-05-2020,17-05-2020,455,8640,INR
1766420,PMP PMBOK 6 Practice Exams: Set One for PMP Candidates,/course/pmp_practice_exams_1/,TRUE,6208,4.33465,4.28676,782,0,5,25-06-2018,16-07-2018,488,6400,INR
137250,Train the Trainer Pro: No Beginners Allowed!,/course/world-class-train-the-trainer-program/,TRUE,5952,4.5,4.47606,781,14,0,23-12-2013,23-12-2013,455,8640,INR
483692,Be Approachable & Coach as a Manager,/course/be-approachable-coach-as-a-manager/,TRUE,2669,4.30488,4.28611,782,25,0,22-04-2015,29-04-2015,455,1280,INR
1847628,Sales Skills - How to sell value instead of price,/course/sales-optimization-selling-value-instead-of-price/,TRUE,2117,4.13684,4.14724,773,14,2,09-08-2018,14-08-2018,455,5120,INR
